Date,Open,High,Low,Close,Adj Close,Volume
2016-03-21,61.959999,62.759998,61.750000,62.440319,62.529999,1960500
2016-03-22,61.680000,63.020000,61.520000,62.380409,62.470001,2649000
2016-03-23,62.000000,62.180000,60.980000,61.152176,61.240002,2288900
2016-03-24,60.020000,61.119999,59.840000,61.002388,61.090000,2676800
2016-03-28,61.549999,61.740002,60.730000,61.152176,61.240002,1784500
2016-03-29,60.730000,62.980000,60.430000,62.889675,62.980000,2687100
2016-03-30,63.930000,64.480003,63.330002,63.638599,63.730000,2222300
2016-03-31,63.639999,64.070000,63.049999,63.209217,63.299999,1709900
2016-04-01,62.119999,64.720001,61.830002,64.387527,64.480003,2215800
2016-04-04,64.500000,64.639999,63.560001,63.798370,63.889999,1973400
2016-04-05,62.500000,62.950001,61.709999,61.931053,62.020000,3144900
2016-04-06,62.099998,64.059998,61.799999,63.858284,63.950001,3001600
2016-04-07,62.779999,63.180000,60.910000,61.631485,61.720001,4233600
2016-04-08,62.950001,63.410000,61.630001,62.120781,62.209999,2708400
2016-04-11,62.930000,63.610001,61.660000,61.641472,61.730000,3719800
2016-04-12,61.959999,63.770000,61.480000,63.418915,63.509998,3436300
2016-04-13,64.410004,65.480003,64.330002,65.276253,65.370003,2783800
2016-04-14,65.480003,65.959999,65.019997,65.326172,65.419998,1476800
2016-04-15,65.389999,65.519997,64.800003,65.026604,65.120003,1070800
2016-04-18,64.540001,66.580002,64.440002,66.454559,66.550003,1821200
2016-04-19,67.019997,67.449997,66.260002,67.083656,67.180000,1974600
2016-04-20,67.230003,68.139999,66.690002,67.243423,67.339996,1360700
2016-04-21,67.360001,67.500000,65.970001,66.184944,66.279999,2063500
2016-04-22,65.879997,66.559998,65.260002,66.224884,66.320000,1835700
2016-04-25,65.620003,65.940002,64.919998,65.835449,65.930000,2063700
2016-04-26,66.300003,66.769997,65.680000,66.194931,66.290001,1567400
2016-04-27,65.790001,67.059998,65.389999,66.544426,66.639999,2026200
2016-04-28,65.769997,67.000000,64.339996,64.786949,64.879997,2533000
2016-04-29,64.099998,64.500000,62.540001,63.718487,63.810001,3727300
2016-05-02,64.330002,65.459999,63.840000,65.136459,65.230003,1898400
2016-05-03,63.889999,64.139999,62.730000,63.458858,63.549999,2774200
2016-05-04,62.450001,63.259998,61.939999,62.340466,62.430000,2763900
2016-05-05,62.980000,63.369999,61.980000,62.390396,62.480000,2572800
2016-05-06,61.630001,63.160000,61.450001,62.999519,63.090000,2518600
2016-05-09,62.919998,63.730000,62.790001,63.239178,63.330002,2234700
2016-05-10,64.000000,65.639999,63.959999,65.525894,65.620003,1758200
2016-05-11,65.099998,65.500000,63.779999,63.728474,63.820000,2528900
2016-05-12,64.559998,64.680000,62.730000,63.718487,63.810001,2728400
2016-05-13,63.520000,64.089996,61.810001,62.030907,62.119999,2421600
2016-05-16,62.330002,64.500000,62.279999,63.868271,63.959999,2321600
2016-05-17,63.700001,63.980000,61.619999,62.130768,62.220001,2627400
2016-05-18,61.810001,63.490002,61.090000,62.210651,62.299999,3025300
2016-05-19,61.470001,61.900002,60.299999,61.551598,61.639999,3186300
2016-05-20,62.290001,63.299999,62.189999,62.669991,62.759998,1946900
2016-05-23,62.759998,63.070000,62.279999,62.360439,62.450001,1497400
2016-05-24,63.380001,65.260002,63.340000,64.826889,64.919998,2561000
2016-05-25,65.660004,66.690002,65.610001,66.125031,66.220001,2069800
2016-05-26,66.419998,66.650002,65.959999,66.194931,66.290001,1124100
2016-05-27,66.470001,67.120003,66.430000,67.003769,67.099998,1063300
2016-05-31,67.470001,67.580002,66.129997,66.684227,66.779999,1625400
2016-06-01,66.059998,67.360001,65.849998,67.053703,67.150002,1188700
2016-06-02,66.709999,67.800003,66.169998,67.702774,67.800003,1113000
2016-06-03,67.120003,67.559998,65.790001,67.113609,67.209999,2651900
2016-06-06,67.580002,68.570000,67.400002,68.102188,68.199997,1607900
2016-06-07,68.360001,69.129997,68.339996,68.351830,68.449997,1259500
2016-06-08,68.639999,69.309998,68.519997,69.030853,69.129997,1145800
2016-06-09,68.320000,69.029999,68.029999,68.771233,68.870003,1445200
2016-06-10,67.250000,67.669998,66.309998,66.794067,66.889999,2670500
2016-06-13,66.180000,67.190002,65.269997,65.306213,65.400002,2374400
2016-06-14,64.959999,65.620003,63.919998,64.946724,65.040001,3546800
2016-06-15,65.410004,66.070000,64.480003,64.597229,64.690002,3300400
2016-06-16,63.680000,65.449997,62.650002,65.186378,65.279999,3113800
2016-06-17,65.190002,65.190002,63.810001,64.447441,64.540001,2812900
2016-06-20,66.699997,67.419998,65.680000,65.685661,65.779999,2455500
2016-06-21,66.199997,66.779999,65.709999,66.234879,66.330002,1408300
2016-06-22,66.239998,67.230003,65.760002,65.867630,65.879997,1836100
2016-06-23,67.459999,68.500000,67.019997,68.477142,68.489998,2366200
2016-06-24,61.410000,64.680000,60.630001,61.038536,61.049999,5957400
2016-06-27,59.630001,59.630001,57.000000,57.739159,57.750000,4267100
2016-06-28,59.490002,60.930000,59.139999,60.868572,60.880001,4038800
2016-06-29,62.380001,64.260002,62.299999,64.057968,64.070000,3750500
2016-06-30,64.500000,66.699997,63.919998,66.547501,66.559998,4361300
2016-07-01,66.519997,67.610001,66.510002,67.017410,67.029999,2670500
2016-07-05,66.129997,66.239998,64.949997,65.657669,65.669998,2615000
2016-07-06,65.050003,66.930000,64.330002,66.757462,66.769997,3090200
2016-07-07,67.010002,67.730003,65.820000,66.617485,66.629997,3045500
2016-07-08,68.110001,69.900002,67.870003,69.566940,69.580002,3086400
2016-07-11,70.180000,71.019997,69.930000,70.316795,70.330002,2632000
2016-07-12,71.489998,72.239998,71.209999,71.856506,71.870003,2276000
2016-07-13,72.389999,72.410004,71.290001,71.866501,71.879997,2139700
2016-07-14,73.349998,73.610001,72.589996,72.976295,72.989998,2739800
2016-07-15,73.699997,73.739998,72.239998,72.756332,72.769997,2060400
2016-07-18,72.930000,73.540001,72.610001,73.346230,73.360001,1270100
2016-07-19,72.820000,73.160004,72.559998,73.086273,73.099998,1933100
2016-07-20,73.680000,74.300003,73.160004,74.026100,74.040001,1402200
2016-07-21,73.860001,74.150002,72.650002,73.166260,73.180000,1919700
2016-07-22,73.339996,74.209999,73.010002,74.156075,74.169998,1629900
2016-07-25,73.919998,73.959999,72.849998,73.596184,73.610001,2013000
2016-07-26,73.449997,74.070000,72.660004,73.626175,73.639999,1766000
2016-07-27,74.120003,74.169998,72.510002,73.446205,73.459999,2187300
2016-07-28,73.180000,74.000000,72.639999,73.686157,73.699997,1757000
2016-07-29,73.389999,74.430000,73.019997,73.956116,73.970001,1851400
2016-08-01,74.080002,74.540001,73.269997,73.776146,73.790001,2075000
2016-08-02,73.489998,73.699997,71.389999,72.356415,72.370003,3468800
2016-08-03,72.260002,73.080002,71.959999,73.006287,73.019997,2366800
2016-08-04,73.150002,73.610001,72.660004,73.266243,73.279999,1316900
2016-08-05,74.059998,75.080002,73.910004,75.055908,75.070000,1731800
2016-08-08,75.300003,75.400002,74.589996,74.905930,74.919998,1147400
2016-08-09,75.010002,75.620003,74.629997,74.985916,75.000000,1541000
2016-08-10,75.160004,75.239998,74.040001,74.446022,74.459999,1466800
2016-08-11,75.120003,75.800003,74.779999,75.515816,75.529999,1712700
2016-08-12,75.089996,75.559998,74.820000,75.295860,75.309998,1447100
2016-08-15,75.730003,76.360001,75.720001,75.995728,76.010002,1566200
2016-08-16,75.400002,75.489998,74.760002,74.745964,74.760002,1641600
2016-08-17,74.790001,75.330002,73.790001,75.145889,75.160004,2660500
2016-08-18,75.160004,75.730003,75.010002,75.675789,75.690002,1399500
2016-08-19,75.089996,75.559998,74.510002,75.325851,75.339996,1459800
2016-08-22,75.059998,75.589996,74.599998,75.305855,75.320000,1655800
2016-08-23,76.059998,76.430000,75.699997,75.735779,75.750000,1840400
2016-08-24,75.580002,75.709999,74.099998,74.665977,74.680000,2695100
2016-08-25,74.129997,74.940002,73.940002,74.356041,74.370003,2627200
2016-08-26,74.660004,75.879997,72.959999,74.006096,74.019997,3683700
2016-08-29,74.160004,75.410004,74.139999,75.065903,75.080002,1307200
2016-08-30,74.989998,75.339996,74.070000,74.665977,74.680000,2241700
2016-08-31,74.330002,74.449997,73.160004,74.036102,74.050003,2687800
2016-09-01,74.110001,74.430000,72.690002,74.096085,74.110001,2218900
2016-09-02,75.059998,75.599998,74.400002,75.045906,75.059998,2509900
2016-09-06,75.400002,75.809998,74.559998,75.765770,75.779999,2661800
2016-09-07,75.559998,75.949997,75.000000,75.745781,75.760002,2455700
2016-09-08,75.330002,75.650002,74.839996,75.175888,75.190002,2002300
2016-09-09,73.699997,73.699997,69.769997,69.816895,69.830002,5210100
2016-09-12,68.889999,73.250000,68.800003,72.726341,72.739998,4400100
2016-09-13,71.260002,71.550003,68.900002,69.576927,69.589996,4921900
2016-09-14,69.650002,71.050003,68.910004,69.476952,69.489998,3429800
2016-09-15,69.339996,72.050003,69.139999,71.586555,71.599998,2984600
2016-09-16,70.889999,71.099998,69.970001,70.776711,70.790001,2673600
2016-09-19,71.529999,72.290001,70.449997,70.756706,70.769997,2034900
2016-09-20,71.820000,71.989998,70.800003,70.846695,70.860001,1708200
2016-09-21,71.599998,73.389999,70.830002,73.199997,73.199997,3517800
2016-09-22,74.370003,74.910004,74.089996,74.519997,74.519997,3102100
2016-09-23,74.080002,74.250000,73.230003,73.360001,73.360001,1479100
